;;;;;;
Gruppe;Semantische Plattform (Technische Plattformen);Simple Index / Verzeichnis (ohne bzw. NUR Abfragemglk., Filter etc.);Forschungspezifische Services;Allgemeine Dienste (technisch sehr gut geeignet);;
Beschreibung;Technisch passend (zumindest für Datenhaltung), aber nicht spezifisch genug. ideal: semantische Plattform + wiki + Gui, Graph-DB nicht mit reingenommen, nicht funktional genug und es gibt unzählig viele davon, selbst in RDF-Welt einige. Fokus = Technik, Wissensorganisation.;Statische definitionen? Statische Liste. Fokus Forschungsdaten dennoch;evtl. Insellösung, existierender, abfragbarer Service, Registries, APIs;;;
Vertreter;skosmos;Rdflicense (service? Hat suche + sparql endpunkt. Aber sparql endpoint timeout);Gfbio;Unesco (skosmos) -> http://vocabularies.unesco.org/browser/thesaurus/en/groups/?uri=http%3A%2F%2Fvocabularies.unesco.org%2Fthesaurus%2Fmt2.05 … Education, Science, Culture, Politics…;;
;Apache marmotta (2018 deprecated);http://conceptnet.io/ (no scientific data);KOKO (skosmos);;;
;Semantic media wiki;scidata;;Wikidata (uses Wikibase (rdf extension), media wiki UI);;
;mobi?;http://data.bgs.ac.uk/downloads.html (BGS linked data);;;;
;HIVE (SKOS!, closed source, Github deprecated?);http://www.termsciences.fr/spip.php?rubrique23&lang=fr# (Suche vorhanden, Baumstruktur …) ———>;;;;
;iQvoc (current, SKOS!, RoR, ui, search, edit);http://www.obofoundry.org/ (mehrere disziplinen);;https://lov.linkeddata.es/ (suche, filter, terms/vocabs);;
;Ontowiki (outdated?);;;https://wiki.dbpedia.org/about (general service, not research data specific) „DBpedia is Wikipedia content represented as a Semantic Web of Linked Data“ -> Spiegelung von Wikipedia. Editieren indirekt über wikipedia mgl.;;
;https://www.ontotext.com/products/ontotext-platform/ (commercial product, enterprise plattform);;;;;
;https://virtuoso.openlinksw.com/ (ist z.B. die Plattform von DBPedia … keine native UI? Eher Backend?);;ePIC data type registry (datentypen z.B. temperatur-definitionen, wiss. Konstanten -> z.B. Boltzmann Konstante) … API;;;
;Apache jena? (siehe virtuoso);; http://coli-conc.gbv.de/publications/bartoc/registries/ bzw. bartoc.org … ist Sonderfall, da nicht nur Vokabulare sondern auch zugeh. Registries & Services gelistet sind, filterbar usw.;;;
;http://www.sissvoc.info/;;http://aber-owl.net/ (search ontologies, add, API) - auch bio domäne;;;
;;;https://vocabs.ands.org.au/ (view, edit, SPARQL, revisionen der Vokabulare);;;
;;http://id.loc.gov/ (Bibliotheksumfeld);;;;
;;https://ddialliance.org/Specification/RDF (https://ddialliance.org/);;;;
;;;Yago: https://gate.d5.mpi-inf.mpg.de/webyago3spotlx/SvgBrowser?entityIn=microscope&codeIn=eng;;;
;;;https://www.uniprot.org/taxonomy/ (search, filter, SPARQL);;;
;;;http://bioportal.bioontology.org/ontologies (search, filter, REST API);;;
;;;http://onki.fi/en/browser/ (general service, no hard focus on research data);;;
;;;NERC Vocabulary Server (sparql etc.);;;
;;;http://www.ontobee.org/ (list, search, SPARQL);;;
;;;http://metadataregistry.org/vocabulary/list.html (open meta data registry, list, sparql);;;
;;;http://bioportal.lirmm.fr/ (search, filter, sparql);;;
;;http://dati.isprambiente.it/ontologie-e-thesauri/thesauri/;;;;
;;;http://aims.fao.org/standards/agrovoc/functionalities/search (agriculture, basiert auch auf SKOSMOS);;;
;;;https://www.loterre.fr/skosmos/fr/ (SKOSMOS);;;
;;;https://www.ebi.ac.uk/ols/ontologies (search, dl, REST API);;;
;;;http://www.orphadata.org/cgi-bin/index.php (Insellösung, SPARQL);;;
;;;https://finto.fi/fi/ (SKOSMOS);;;
;https://seco.cs.aalto.fi/ontologies/;;;;;
